OBJECTID,SSAMPLENO,LONGITUDE,LATITUDE,SIO2,AL2O3,FE2O3,TIO2,CAO,MGO,MNO,NA2O,K2O,P2O5,BA,GA,SC,V,TH,PB,NI,CO,RB,SR,Y,ZR,NB,CR,CU,ZN,LA,CE,PR,ND,SM,EU,TB,GD,DY,HO,ER,TM,YB,LU,HF,TA,U,TREE
1207,57C9/B3/C/15,76.6131,13.775,57.35,18.81,8.18,0.38,0.51,2.01,0.09,0.64,2.03,0.04,0.94,1.65,458.9,16.7,17.8,134.9,12.2,19.4,94.1,29.2,79.3,58.6,19.2,213.6,15.3,134.9,54.15,98.36,11.06,48.15,7.52,1.77,0.99,6.6,5.15,1.07,2.66,0.37,3.62,0.74,58.6,50.4,15.57,235.61
1206,57C9/A3/C/15,76.5409,13.8197,55.99,13.77,11.13,0.89,1.5,3.24,0.12,0.61,0.78,0.05,0.86,2.26,160.3,19.3,29.2,171.7,5.9,12.1,126.7,36.4,39.4,84,21.9,176.6,18.7,331.1,35.6,68.26,8.4,35.88,9.78,2.43,1,5.91,5.81,1.14,2.61,0.53,3.91,0.55,74.7,61.6,17.78,175.9
1203,57C9/A2/C/15,76.5618,13.8526,53.69,14.31,10.87,0.94,2.92,3.66,0.11,0.88,1.18,0.03,0.15,1.32,327.3,22.2,28.7,164.1,5,13.7,88.3,31.2,56.1,229.3,21.3,143.5,19,172,26.47,56.66,6.59,18.23,8.62,2.04,0.73,3.55,4.08,0.76,1.94,0.42,3.04,0.6,80.4,46.9,8.75,130.18
1204,57C9/B2/C/15,76.6332,13.882,56.44,12.54,5.23,1.09,8.45,2.1,0.09,0.92,1.15,0.09,0.72,0.89,324.6,10.6,27.8,106.3,4.4,9.8,61.3,18.3,40.8,123,22.5,204.3,16.2,91.8,18.89,35.2,3.95,15.67,3.02,0.78,0.8,2.9,3.57,0.75,2.16,0.35,2.23,0.32,32.9,67.4,6.44,87.69
1201,57C9/B1/C/15,76.6357,13.9377,63.84,12.1,5,0.61,2.08,1.78,0.04,3.27,1.15,0.04,1.29,0.95,251,10.7,16,102.9,10.5,16.6,80.4,11.9,56.2,186.8,20.8,221.8,13.7,138.1,17.7,31.76,4.02,16,3.19,0.82,0.76,2.82,3.3,0.64,2.02,0.32,2.15,0.33,36.1,58.4,5.77,83.01
1200,57C9/A1/C/15,76.5356,13.9628,53.9,14.22,8.01,0.85,4.39,3.78,0.11,1.59,1.31,0.03,1.39,1.27,371,15.1,20.7,136,10.1,19.4,96.3,25,64.7,276.9,20.5,187.4,19.2,139.7,26.27,52.16,5.57,21.77,4.11,1.04,1,3.78,4.32,0.83,2.5,0.37,2.39,0.36,52.9,62.3,5.68,122.69
1202,57C9/C1/C/15,76.6957,13.9726,56.97,20.77,6.79,0.81,1.87,1.4,0.1,1.22,1.92,0.07,2.95,1.34,324.2,20.3,15.6,93.7,21.1,15.6,39.5,17.1,121.8,163.3,71.6,556.3,30.4,55.5,78.26,122.23,16,62.73,13.06,2.06,3.64,12.26,16.71,3.34,10.44,1.67,10.76,1.56,18.9,79.2,20.95,342.46
2170,57B08/B1/C/13,76.375,14.2083,59.92,20.28,4.9,0.42,0.66,0.26,0.05,0.79,3.66,0.06,401.6,2.5,8.6,52.9,17.3,33.7,30.7,8.5,169,43.3,35.6,228.9,15.7,46.6,25.8,32.7,59.53,146.79,13.33,47.35,8.98,1.34,1.23,7.87,6.88,1.29,4.04,0.63,3.98,0.66,11.5,1.78,3.98,296.03
2176,57B12/1A/C/13,76.5777,14.1818,54.48,20.98,6.68,0.47,1.24,1.02,0.19,1.15,2.24,0.05,259.8,20,10.6,61.9,22.1,28.8,40.1,14.9,135.4,51.8,59.4,218.8,22.6,57.5,24.8,70.7,58.43,143.13,12.87,44.85,10.72,1.17,2,10.91,12.42,2.26,7.42,1.17,7.83,1.23,9.35,7.36,6.55,305.5
2182,57B12/3A/C/12,76.5761,14.0088,57.21,17.57,9.66,0.56,0.53,2.92,0.12,1.14,1.53,0.05,376.9,10.4,12.7,130.7,7.6,15.1,89.9,26,46.8,83.7,18.8,132.4,6.1,113.1,54.4,57.4,23.59,51.75,5.38,19.09,3.6,0.94,0.54,3.56,3.72,0.69,2.2,0.36,2.06,0.34,4.14,0.94,2.39,114.26
